saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,moden_bestilling_dato,kapasitet_ko_mw,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
23/01320,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,ISE Utvikling AS,Transport,2023-11-17,5.0,2025-12-31,,Ingvild Grøtterud Birkeland
23/01324,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,Glomfjord Hydrogen AS (Fauske),Hydrogen/ammoniakk,2023-11-18,30.0,2028-03-30,,Ingvild Grøtterud Birkeland
23/01326,Svartisen,Helgeland og Salten,NO4,Arva AS,Fish Farm International AS,Oppdrettsnæring,2023-11-21,6.0,2028-09-29,,Ingvild Grøtterud Birkeland
23/01327,Svartisen,Helgeland og Salten,NO4,Arva AS,Neptun GGA,Hydrogen/ammoniakk,2023-11-22,30.0,2027-06-29,,Ingvild Grøtterud Birkeland
23/01328,Svartisen,Helgeland og Salten,NO4,Arva AS,Lovundlaks AS,Oppdrettsnæring,2023-11-25,10.0,2027-09-29,,Ingvild Grøtterud Birkeland
23/01351,Kristiansand,Sør Rogaland og Agder,NO2,Glitre Nett AS,Bulk,Datasenter,2023-10-02,25.0,2026-09-30,,Geir Kåsa
23/01360,Mestervik,Nord,NO4,Arva AS,Kvitebjørn Varme AS,Industri,2023-11-15,13.0,2028-12-31,,Lars Erik Johansen
23/01362,Mestervik,Nord,NO4,Arva AS,FJUEL TROMSØ AS,Transport,2023-11-23,7.0,2025-09-30,,Lars Erik Johansen
23/01391,Nesflaten,Bergen og Haugalandet,NO2,Lyse Kraft DA,LYSE KRAFT DA,Annet forbruk,2023-11-06,115.0,2032-03-30,,Magnus Tennøe
23/01393,Røldal,Bergen og Haugalandet,NO2,Lyse Kraft DA,LYSE KRAFT DA,Annet forbruk,2023-11-06,292.0,2032-03-30,,Magnus Tennøe
23/01394,Novle,Bergen og Haugalandet,NO2,Lyse Kraft DA,LYSE KRAFT DA,Annet forbruk,2023-11-06,91.0,2032-03-30,,Magnus Tennøe
24/01456,Moskog,Sogn og Sunnmøre,NO3,Linja AS,Skyss,Transport,2024-01-09,3.0,2027-10-28,,Hans Olav Ween
24/01471,Mestervik,Nord,NO4,Arva AS,Lerøy,Oppdrettsnæring,2024-01-17,15.0,2030-06-02,,Lars Erik Johansen
24/01473,Bjerkreim,Sør Rogaland og Agder,NO2,Lnett AS,WS COMPUTING AS,Datasenter,2024-03-06,360.0,2027-06-30,,Ingvild Grøtterud Birkeland
24/01489,Ørskog,Sogn og Sunnmøre,NO3,Linja AS,Ocean Gem AS,Oppdrettsnæring,2024-01-29,21.0,2028-06-29,,Hans Olav Ween
24/01502,Humleberget,Sør Rogaland og Agder,NO2,Lnett AS,Avinor,Transport,2024-05-14,9.6,2030-03-30,,Ingvild Grøtterud Birkeland
24/01506,Åfjord,Midt,NO3,Tensio AS,Fossefall AS,Datasenter,2024-02-10,5.8,2025-12-31,,Christopher Aarnseth Ruud
24/01507,Namsos,Midt,NO3,Tensio AS,ECO Seafood AS,Oppdrettsnæring,2023-11-16,40.6,2026-08-31,,Christopher Aarnseth Ruud
24/01508,Tunnsjødal,Midt,NO4,Tensio AS,Exanorth AS,Datasenter,2024-01-08,6.0,2024-12-31,,Christopher Aarnseth Ruud
24/01541,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,Arctic Sapphire,Industri,2024-02-28,53.0,2030-01-01,,Ingvild Grøtterud Birkeland
24/01593,Fortun,Sogn og Sunnmøre,NO5,Linja AS,Hydro Aluminium AS,Industri,2022-04-25,40.0,2029-01-30,,Hans Olav Ween
24/01595,Fortun,Sogn og Sunnmøre,NO5,Linja AS,Hydro Aluminium AS,Industri,2022-04-25,40.0,2027-12-30,,Hans Olav Ween
24/01604,Klæbu,Midt,NO3,Tensio AS,TRØNDELAG FYLKESKOMMUNE,Transport,2024-02-27,25.0,2029-03-01,,Christopher Aarnseth Ruud
