navn,nveNetbasID,spenning_kV,driftsattaar,eier,lat,lon
TROLL-PLATTFORMEN,77656,,1992,EQUINOR ASA,60.38452113672446,3.43183026142149
HOL III,44669,,1958,GLITRE ENERGI NETT AS,60.58292488727928,8.404550792517343
GARDSVIKDALEN TRANSFORMATORSTA,,,1987,HÅLOGALAND KRAFT NETT AS,68.78107100032088,17.159212550759957
S1R  RAA SEKUNDÆRSTASJON,,,,NORGESNETT AS,59.24451697318162,10.980408751482182
S5F GLUPPE SEKUNDÆRSTASJON,,,1989,NORGESNETT AS,59.239824759577814,10.918622727137086
HOLGERSMOEN-T,80075,,2010,GLITRE ENERGI NETT AS,59.93987621681601,9.94541070892895
FUTELV,77615,,,NORDKYN KRAFTLAG SA,71.06051712471347,28.03420660142104
EMBRETSFOSS-T,77534,,2012,GLITRE ENERGI NETT AS,59.90817315286531,9.897701775470534
TROLLDALEN TS,,,1982,AGDER ENERGI NETT AS,58.2962344203662,6.670560692126959
RUDSHØGDA TRST,,,1983,ELVIA AS,60.90582343655197,10.819398162947168
VELDRESIDEN TRSF.ST.,,,1983,ELVIA AS,60.885818694030306,10.937451837489974
HEGGEN TRANSFORMATORSTASJON,,,1980,HÅLOGALAND KRAFT NETT AS,68.79535744345793,16.521402461932855
TRAFO ØST,77600,,2008,LKAB NORGE AS,68.43363900666893,17.40773800040968
NORE 2,80715,,2012,GLITRE ENERGI NETT AS,60.23883753852574,9.000334667902099
MYKLEBUST TS,,,2010,SUNNFJORD ENERGI AS,61.52279039758267,6.385488099832478
,,,,,58.469835979941436,6.026221527707972
VIGELAND,80096,,1972,HYDRO VIGELANDS BRUG AS,58.25345898591661,7.958817455316209
GJØVIK OMFORMERSTASJON,81030,,2017,BANE NOR SF,60.78609596710079,10.672557440158888
T_HOLLEMOEN,77358,,1987,HEMSEDAL ENERGI AS,60.862765268241105,8.516665374845802
HJELLUM TRST,,,1983,ELVIA AS,60.80100899725482,11.155698268493985
SELVÆR,,,,RØDØY-LURØY KRAFTVERK AS,66.58301298827077,12.233339553513384
AL KABELVÅG,,,1960,LOFOTKRAFT AS,68.21258623515523,14.476566164035424
HÅLANDSFOSSEN,,,,SUNNFJORD ENERGI AS,61.33068603808204,5.4140168100870065
SVABO,79837,,1955,MIP INDUSTRINETT AS,66.30567197495054,14.177545025854835
GÅSVANN KOBLINGSTASJON,,,1982,HÅLOGALAND KRAFT NETT AS,68.76588898798805,16.324464642885385
SJUSJØEN TRST,,,2007,ELVIA AS,61.124501844931565,10.693786783896764
UGULSVIK,81523,,2018,LUSTER ENERGIVERK AS,61.36441068902573,7.097512795854802
CB FORSFJORD,,,1937,LOFOTKRAFT AS,67.93949831385152,12.981801226542743
AD SVOLVÆR,,,1997,LOFOTKRAFT AS,68.2344057363166,14.56177216638979
SAMTEIG,75181,,1969,ODDA ENERGI NETT AS,60.0880701634053,6.550462461256551
VESTRE STASJON,77295,,1974,LKAB NORGE AS,68.43064100698714,17.389308001772974
LUNDE TRST,,,1996,ELVIA AS,61.2289400697007,10.273844794954583
LUNDEN,77855,,2014,LINJA AS,61.843866569750304,5.790913707914733
LOMEN TR.ST,,,,ELVIA AS,61.13551632094829,8.879316302900815
KVITNES TRANSFORMATORSTASJON,,,1984,HÅLOGALAND KRAFT NETT AS,68.62933731055878,16.59829871064675
BRÅTEN2-T,80510,,1978,GLITRE ENERGI NETT AS,60.60754372772709,9.074734498516351
MOELV TRST,,,1983,ELVIA AS,60.93696353356568,10.71937892620088
